shipment_id,region,transport_mode,shipment_volume_kg,distance_km,traffic_level,weather,transportation_cost,delivery_time_hours,delay_hours,on_time
S0078,North,Road,245.0,468.6,Medium,Clear,2482.91,13.37,0.0,1
S0079,East,Road,232.6,219.8,Low,Rain,2141.08,8.88,3.58,0
S0080,East,Road,279.4,86.2,Low,Clear,2502.33,7.09,0.0,1
S0081,West,Rail,124.8,249.0,Low,Rain,884.67,9.69,4.07,0
S0082,South,Road,126.3,447.2,Medium,Rain,1426.94,20.26,4.09,0
S0083,North,Road,467.1,182.1,Low,Cloudy,3925.68,7.22,1.32,1
S0084,West,Rail,149.6,609.2,Medium,Clear,1234.93,14.13,2.97,0
S0085,East,Road,194.6,325.2,Low,Cloudy,1961.82,15.25,0.78,1
S0086,East,Road,206.1,172.2,Low,Clear,1920.77,6.12,0.0,1
S0087,North,Road,165.2,379.7,High,Rain,1692.88,20.02,7.43,0
S0088,South,Rail,319.8,443.1,Low,Clear,2045.48,12.47,0.85,1
S0089,West,Road,305.2,460.7,Low,Clear,2862.85,12.53,0.19,1
S0090,West,Air,226.8,47.3,Low,Clear,3737.98,1.0,1.17,1
S0091,South,Road,170.8,595.9,High,Cloudy,1928.21,24.7,5.42,0
S0092,West,Air,216.8,140.1,Medium,Rain,3473.07,7.77,2.73,0
S0093,West,Rail,256.5,596.4,Medium,Clear,1796.07,15.91,4.47,0
S0094,South,Road,157.5,626.1,High,Cloudy,1793.11,30.08,5.68,0
S0095,West,Rail,332.9,168.6,Low,Rain,1998.37,8.81,2.02,0
S0096,South,Rail,413.2,189.2,High,Clear,2454.89,6.21,3.82,0
S0097,North,Air,510.2,516.1,Low,Clear,8386.67,3.71,0.08,1
S0098,East,Road,493.5,277.2,Medium,Cloudy,4263.69,12.88,2.29,0
S0099,East,Road,205.3,676.3,Medium,Cloudy,2165.39,23.39,3.58,0
S0100,North,Road,263.6,778.5,Medium,Clear,2703.47,25.53,2.82,0
S0101,West,Road,224.4,172.0,High,Rain,2132.98,15.46,7.25,0
S0102,North,Road,223.9,217.2,Low,Clear,2050.4,7.6,0.0,1
S0103,West,Road,215.9,368.9,High,Rain,2106.64,22.06,9.82,0
S0104,North,Road,247.5,84.7,Medium,Rain,2216.67,8.54,4.15,0
S0105,West,Road,449.9,110.8,Medium,Rain,3925.96,8.33,5.02,0
S0106,West,Road,292.4,202.9,High,Clear,2614.28,19.99,3.05,0
S0107,West,Rail,121.5,924.1,Low,Clear,1372.79,17.23,0.01,1
S0108,East,Rail,403.8,400.5,High,Clear,2567.79,15.5,3.53,0
S0109,South,Road,277.3,238.2,Medium,Clear,2525.9,7.48,3.39,0
S0110,East,Road,321.8,188.3,Medium,Cloudy,2846.38,10.71,1.88,1
S0111,South,Air,289.3,167.4,Low,Clear,4738.12,1.0,0.91,1
S0112,West,Road,296.6,248.3,Medium,Clear,2675.29,10.06,0.85,1
S0113,East,Road,304.1,240.2,Medium,Clear,2791.89,13.12,1.33,1
S0114,South,Road,81.7,305.9,Medium,Clear,1014.55,13.59,1.62,1
S0115,East,Road,319.6,454.8,Low,Clear,2999.88,15.22,1.96,1
S0116,East,Road,161.5,332.9,Low,Cloudy,1593.21,7.86,0.0,1
S0117,North,Rail,185.9,532.8,High,Cloudy,1386.51,22.73,4.24,0
S0118,North,Road,246.4,293.6,Low,Clear,2430.57,7.1,0.0,1
S0119,North,Road,553.3,810.9,Medium,Rain,5042.61,32.2,4.8,0
S0120,North,Rail,134.1,525.8,High,Rain,1123.9,22.81,6.65,0
S0121,South,Rail,241.8,394.5,Low,Clear,1733.05,10.44,0.0,1
S0122,East,Road,213.0,455.6,Low,Cloudy,2150.08,13.11,0.27,1
S0123,East,Road,400.7,252.3,Medium,Clear,3556.16,11.47,0.0,1
S0124,South,Road,209.6,303.1,Low,Clear,2015.91,8.94,0.0,1
S0125,West,Road,279.1,296.5,Medium,Clear,2558.35,12.37,3.26,0
S0126,East,Road,134.3,222.0,Medium,Clear,1367.17,9.79,2.11,0
S0127,North,Air,437.2,150.6,Medium,Rain,6963.38,3.3,4.55,0
S0128,West,Road,101.4,469.2,Medium,Rain,1244.42,22.32,4.11,0
S0129,East,Road,317.3,578.8,Medium,Rain,3053.02,22.55,3.49,0
S0130,East,Rail,280.0,433.1,Medium,Cloudy,1975.98,12.31,1.34,1
S0131,East,Road,302.7,332.4,Low,Cloudy,2789.15,10.51,0.89,1
S0132,East,Air,102.3,1009.5,Medium,Rain,2192.5,10.23,5.39,0
S0133,North,Rail,207.2,236.4,High,Clear,1382.29,10.33,5.01,0
S0134,East,Road,390.2,401.9,Medium,Clear,3673.32,10.11,2.39,0
S0135,West,Road,598.1,624.3,Medium,Cloudy,5355.82,22.82,2.67,0
S0136,South,Air,231.8,177.9,Low,Clear,3826.15,3.48,0.03,1
S0137,East,Rail,370.6,488.9,Low,Clear,2408.53,10.45,0.0,1
S0138,North,Air,265.3,839.9,Low,Clear,4713.28,1.09,0.0,1
S0139,South,Road,238.5,348.0,Low,Cloudy,2204.94,12.35,3.53,0
S0140,South,Rail,193.9,382.2,High,Clear,1379.33,11.73,1.92,1
S0141,West,Road,247.1,237.3,Low,Clear,2292.35,5.98,0.0,1
S0142,North,Road,353.0,452.8,High,Clear,3150.07,18.26,6.01,0
S0143,South,Road,368.7,218.8,Low,Clear,3186.74,9.61,0.0,1
S0144,South,Road,114.8,336.5,Low,Rain,1284.04,13.06,2.17,0
S0145,West,Road,184.0,139.6,Medium,Clear,1706.33,7.19,0.99,1
S0146,West,Road,130.4,63.0,Low,Cloudy,1279.56,8.96,0.63,1
S0147,North,Rail,254.0,265.2,Medium,Cloudy,1579.85,11.1,0.7,1
S0148,North,Road,203.1,262.7,High,Clear,1988.56,15.66,5.07,0
S0149,West,Road,297.2,278.4,High,Rain,2645.61,17.51,8.0,0
S0150,North,Road,308.4,517.2,Low,Cloudy,3022.01,15.3,1.93,1
S0151,West,Road,58.7,587.7,Medium,Cloudy,878.47,16.16,1.97,1
S0152,South,Air,246.0,411.3,Low,Clear,4159.12,4.92,0.1,1
S0153,West,Rail,454.7,497.5,High,Clear,2841.02,18.03,3.46,0
S0154,South,Road,184.1,222.5,Medium,Rain,1866.71,12.96,4.16,0
S0155,South,Air,181.0,192.0,Low,Cloudy,3108.43,3.07,3.48,0
S0156,East,Rail,412.9,457.8,Low,Rain,2609.83,14.94,3.21,0
S0157,North,Road,377.9,176.5,Low,Rain,3301.24,6.22,1.27,1
S0158,East,Rail,138.3,165.0,Low,Clear,933.46,3.7,0.22,1
S0159,East,Road,358.1,1300.0,High,Cloudy,3732.84,40.71,5.63,0
S0160,West,Air,156.5,360.7,Medium,Clear,2737.48,9.09,0.19,1
S0161,West,Road,179.9,262.8,High,Cloudy,1693.41,17.84,4.18,0
S0162,East,Road,138.2,245.8,Low,Clear,1442.89,3.62,0.0,1
S0163,South,Road,114.3,142.0,Medium,Clear,1110.73,4.91,2.75,0
S0164,South,Rail,262.2,406.5,Low,Cloudy,1784.59,10.1,1.6,1
S0165,South,Road,104.2,293.2,Medium,Cloudy,1103.26,12.18,3.33,0
S0166,West,Road,268.1,578.7,Low,Cloudy,2659.39,15.32,0.01,1
S0167,South,Road,263.5,465.7,Low,Clear,2517.26,18.53,0.03,1
S0168,North,Rail,226.0,287.5,Medium,Clear,1590.69,10.41,1.98,1
S0169,South,Road,189.0,97.8,Low,Rain,1763.59,8.62,1.95,1
S0170,North,Air,168.5,361.2,Medium,Clear,3058.38,3.67,1.29,1
S0171,North,Road,128.1,343.3,Medium,Clear,1352.05,15.12,2.56,0
S0172,North,Road,512.2,86.2,Low,Cloudy,4328.1,4.43,0.48,1
S0173,West,Road,220.4,436.6,High,Clear,2129.37,18.87,4.88,0
S0174,East,Road,216.3,173.0,Medium,Cloudy,1982.8,11.4,4.55,0
S0175,East,Road,142.1,595.1,High,Clear,1629.69,20.08,4.5,0
S0176,South,Rail,483.5,331.7,Medium,Rain,2836.71,17.04,6.3,0
S0177,East,Road,174.6,241.8,Medium,Rain,1642.94,14.26,5.34,0
S0178,North,Rail,282.2,389.8,Medium,Rain,1784.09,17.41,3.16,0
S0179,West,Road,312.2,376.5,High,Cloudy,2755.99,16.54,4.0,0
S0180,East,Rail,262.3,368.9,Medium,Clear,1688.76,9.18,0.62,1
S0181,West,Air,102.7,552.8,Low,Cloudy,2110.4,1.51,0.0,1
S0182,North,Rail,350.0,403.0,Low,Rain,2133.73,12.88,2.82,0
S0183,South,Road,173.6,229.5,Medium,Cloudy,1619.78,11.68,3.4,0
S0184,East,Rail,375.9,298.3,Low,Cloudy,2397.24,7.4,2.41,0
S0185,South,Road,237.5,710.5,Low,Cloudy,2435.77,19.47,2.03,0
S0186,South,Road,322.5,217.7,Low,Cloudy,2897.39,5.94,0.37,1
S0187,North,Road,466.5,432.8,Medium,Cloudy,4185.37,16.78,0.57,1
S0188,South,Road,343.0,563.8,Low,Clear,3270.53,15.81,0.55,1
S0189,North,Rail,326.7,455.8,Medium,Clear,2045.8,11.28,1.76,1
S0190,South,Road,358.5,362.4,Medium,Cloudy,3234.61,18.44,3.42,0
S0191,East,Rail,153.3,394.0,High,Clear,1104.86,14.98,6.83,0
S0192,East,Road,384.4,471.6,Low,Rain,3649.13,20.2,5.0,0
S0193,East,Rail,211.0,216.2,Medium,Cloudy,1308.39,8.26,3.47,0
S0194,South,Road,214.9,344.5,Medium,Clear,2031.04,14.1,0.8,1
S0195,West,Road,257.8,1006.4,Medium,Rain,2738.69,33.86,5.62,0
S0196,North,Rail,200.1,440.1,Medium,Cloudy,1380.26,9.77,2.41,0
S0197,South,Air,135.3,369.6,Low,Cloudy,2554.82,6.85,0.0,1
S0198,North,Road,247.1,281.5,High,Clear,2444.86,15.11,4.91,0
S0199,South,Road,215.5,217.6,Low,Rain,1997.51,12.37,3.32,0
S0200,West,Road,211.2,401.3,High,Clear,2017.69,16.91,3.15,0
S0201,South,Road,233.3,416.7,Medium,Cloudy,2152.55,16.1,4.45,0
S0202,West,Rail,62.4,331.7,Low,Clear,673.49,6.12,0.12,1
S0203,South,Rail,212.1,1226.1,Medium,Cloudy,1939.87,30.51,2.09,0
S0204,East,Road,497.6,228.7,Low,Cloudy,4250.76,9.7,0.84,1
S0205,South,Road,476.7,198.5,Medium,Cloudy,4114.95,11.53,2.98,0
S0206,South,Road,251.9,283.8,Medium,Clear,2373.02,14.96,3.19,0
S0207,West,Air,247.2,337.7,Low,Rain,4215.1,8.19,2.3,0
S0208,West,Road,53.1,211.1,Low,Cloudy,703.52,10.24,1.91,1
S0209,South,Rail,179.3,396.0,Medium,Clear,1269.57,8.57,1.85,1
S0210,West,Road,356.6,419.7,Low,Rain,3300.26,14.51,1.48,1
S0211,South,Road,197.4,502.0,High,Cloudy,2035.99,20.0,3.9,0
S0212,East,Road,421.8,258.3,Medium,Rain,3745.32,15.9,6.14,0
S0213,West,Air,408.3,678.7,Medium,Rain,6925.39,9.18,5.76,0
S0214,South,Road,177.3,483.8,Low,Rain,1786.29,14.67,3.46,0
S0215,East,Road,262.4,226.0,Medium,Cloudy,2324.62,11.03,4.4,0
S0216,South,Road,518.8,210.6,High,Cloudy,4404.68,11.26,6.17,0
S0217,North,Road,101.3,294.8,Low,Clear,1094.45,9.64,0.82,1
S0218,North,Air,199.9,420.2,Low,Clear,3551.1,1.0,0.0,1
S0219,South,Road,95.2,453.8,Low,Cloudy,1210.51,16.11,3.47,0
S0220,West,Road,146.9,483.3,Medium,Clear,1681.47,18.05,2.91,0
S0221,North,Road,600.0,971.6,Medium,Rain,5536.19,37.27,6.04,0
S0222,South,Road,199.9,115.8,Medium,Clear,1854.37,9.41,0.82,1
S0223,East,Road,71.6,326.7,Medium,Clear,998.47,12.17,2.11,0
S0224,North,Road,134.5,927.9,Low,Clear,1792.18,28.22,0.0,1
S0225,East,Road,89.2,514.4,Low,Clear,1180.27,12.46,1.04,1
S0226,South,Road,267.9,191.4,Low,Clear,2509.89,4.92,0.0,1
S0227,West,Road,309.7,385.1,High,Clear,2875.74,18.87,5.05,0
S0228,East,Road,387.2,316.0,Medium,Rain,3434.66,11.07,3.78,0
S0229,East,Road,346.3,309.7,Medium,Clear,3074.65,12.57,1.51,1
S0230,North,Road,104.3,255.5,Medium,Clear,1193.59,8.98,0.72,1
S0231,South,Road,301.3,368.1,Low,Clear,2860.89,11.91,0.0,1
S0232,West,Road,227.7,612.0,Low,Clear,2335.42,15.73,2.73,0
S0233,North,Road,417.2,268.7,Low,Clear,3737.32,10.0,1.66,1
S0234,West,Road,367.5,485.2,High,Cloudy,3278.51,21.81,6.17,0
S0235,South,Road,642.2,531.2,Medium,Cloudy,5606.71,22.56,3.5,0
S0236,East,Road,140.8,675.7,Medium,Clear,1675.83,22.3,3.62,0
S0237,East,Road,129.2,208.5,Low,Cloudy,1288.29,6.8,2.26,0
S0238,South,Road,185.7,352.2,Low,Clear,1990.42,10.73,0.0,1
S0239,South,Road,232.7,238.9,Medium,Clear,2169.35,7.83,1.53,1
S0240,East,Road,165.4,368.5,Medium,Rain,1683.45,18.09,2.79,0
S0241,North,Rail,145.2,367.1,High,Clear,1138.37,15.97,5.73,0
S0242,East,Road,290.5,179.3,Medium,Rain,2492.46,17.65,7.42,0
S0243,North,Road,185.3,380.5,Medium,Clear,1829.88,13.15,1.97,1
S0244,East,Road,161.3,997.9,Medium,Clear,2073.32,30.17,0.69,1
S0245,East,Rail,104.2,454.8,High,Clear,937.39,15.0,5.03,0
S0246,North,Road,55.8,158.3,Medium,Clear,667.88,9.13,0.54,1
S0247,West,Road,484.8,201.0,Medium,Rain,4240.97,13.63,3.82,0
S0248,South,Road,477.1,342.4,High,Clear,4258.83,16.89,5.2,0
S0249,West,Road,373.6,203.7,Low,Rain,3309.27,12.75,3.23,0
S0250,North,Road,327.4,656.4,High,Rain,3135.19,26.92,7.37,0
S0251,North,Rail,175.7,147.2,Low,Cloudy,1161.43,7.85,0.12,1
S0252,South,Rail,334.7,456.5,Medium,Clear,2127.29,13.98,2.09,0
S0253,North,Air,123.8,129.3,Medium,Clear,2115.3,4.72,1.13,1
S0254,South,Road,258.9,339.4,Medium,Clear,2380.43,12.74,0.51,1
S0255,East,Road,153.5,186.8,Medium,Cloudy,1476.75,15.75,2.59,0
S0256,North,Rail,335.4,501.4,Medium,Clear,2142.94,11.82,2.18,0
S0257,East,Road,537.5,598.3,Low,Rain,4723.06,21.4,3.4,0
S0258,North,Rail,134.2,419.6,Low,Cloudy,1120.69,8.98,0.0,1
S0259,North,Road,180.7,613.1,Low,Clear,1975.71,22.06,2.15,0
S0260,East,Road,256.2,73.6,Medium,Cloudy,2363.62,9.39,0.0,1
S0261,West,Road,76.9,377.9,Medium,Clear,966.29,12.95,1.33,1
S0262,North,Rail,91.8,453.0,Low,Rain,922.8,14.36,2.3,0
S0263,South,Road,529.1,484.7,High,Clear,4696.58,21.32,4.98,0
S0264,West,Road,291.2,107.4,Medium,Rain,2554.71,9.19,5.0,0
S0265,West,Road,170.1,438.7,Medium,Rain,1823.02,20.71,6.53,0
S0266,East,Road,241.4,490.3,Medium,Rain,2423.5,21.26,4.37,0
S0267,South,Road,186.1,375.5,Low,Clear,1893.33,12.36,0.89,1
S0268,South,Rail,260.5,159.2,Medium,Rain,1608.1,10.3,4.58,0
S0269,East,Road,190.1,254.4,Medium,Clear,1821.06,12.14,0.0,1
S0270,East,Rail,231.0,658.2,Low,Cloudy,1667.98,15.47,3.62,0
S0271,South,Rail,351.5,619.0,High,Clear,2303.92,19.38,2.92,0
S0272,North,Road,339.4,448.5,High,Clear,3107.66,18.39,5.07,0
S0273,North,Road,513.2,507.1,Medium,Clear,4502.69,21.57,3.02,0
S0274,West,Road,302.5,580.5,High,Clear,2943.47,20.97,5.11,0
S0275,South,Road,249.9,445.8,High,Clear,2490.2,20.67,4.16,0
S0276,South,Road,554.1,648.3,Low,Rain,4919.42,21.36,4.6,0
S0277,South,Air,217.7,636.9,Medium,Clear,3920.23,9.6,0.0,1
S0278,West,Air,59.2,1165.2,Medium,Cloudy,1681.58,5.75,2.45,0
S0279,North,Rail,376.0,260.5,Low,Clear,2261.7,5.12,0.0,1
S0280,North,Road,283.2,263.2,Low,Cloudy,2552.39,7.79,0.09,1
S0281,South,Road,243.5,56.5,Low,Cloudy,2192.18,5.2,1.41,1
S0282,South,Rail,381.4,428.0,Medium,Clear,2361.35,9.26,2.92,0
S0283,East,Road,191.0,898.8,Medium,Cloudy,2257.98,28.1,3.56,0
S0284,South,Road,61.0,675.5,Medium,Rain,1026.01,20.54,6.11,0
S0285,South,Road,385.4,540.8,Low,Rain,3524.91,19.76,3.54,0
S0286,West,Road,166.7,700.1,Low,Clear,1829.72,19.32,0.0,1
S0287,North,Road,137.3,457.4,Medium,Clear,1543.9,13.26,1.58,1
S0288,East,Road,63.0,296.8,Medium,Cloudy,896.48,15.7,2.62,0
S0289,East,Road,368.2,1017.9,High,Clear,3700.48,31.91,4.82,0
S0290,South,Rail,47.3,439.4,High,Rain,790.77,20.74,7.97,0
S0291,West,Air,464.5,629.5,High,Clear,7804.61,7.67,4.18,0
S0292,South,Road,201.8,73.3,High,Rain,1817.8,16.45,5.21,0
S0293,West,Rail,377.7,82.4,High,Clear,2171.87,11.15,2.01,0
S0294,South,Air,307.5,384.4,Medium,Clear,5183.5,3.02,2.13,0
S0295,East,Road,609.0,203.8,Low,Rain,5118.0,8.35,1.72,1
S0296,East,Road,303.0,403.9,Low,Rain,2890.29,16.96,3.62,0
S0297,West,Road,455.3,263.0,Medium,Rain,3986.94,13.84,5.57,0
S0298,South,Road,177.4,1256.3,Low,Rain,2304.27,37.69,3.39,0
S0299,South,Rail,91.6,602.9,Low,Clear,1025.7,15.76,0.0,1
S0300,North,Road,409.2,736.3,High,Clear,3953.32,25.73,7.17,0
S0301,South,Road,89.9,92.6,Low,Clear,959.53,4.64,0.42,1
S0302,West,Road,366.1,536.9,High,Clear,3397.88,24.23,4.54,0
S0303,North,Road,127.8,316.7,Medium,Clear,1459.56,14.61,0.87,1
S0304,West,Air,286.3,743.8,Medium,Rain,5079.96,8.58,3.71,0
S0305,East,Road,615.1,495.4,Medium,Clear,5355.62,16.9,0.75,1
S0306,North,Road,350.8,342.8,Low,Clear,3175.23,7.2,1.06,1
S0307,South,Road,218.3,169.4,Medium,Clear,2030.32,6.63,0.69,1
S0308,East,Road,311.4,380.3,Low,Clear,2900.26,12.71,1.53,1
S0309,South,Road,181.1,650.3,High,Clear,1911.85,24.81,4.6,0
S0310,North,Road,742.2,766.8,Low,Cloudy,6454.5,23.34,0.72,1
S0311,East,Road,159.5,285.8,Low,Clear,1564.38,11.81,0.0,1
S0312,East,Road,231.9,1146.7,Medium,Cloudy,2612.82,33.06,1.22,1
S0313,North,Rail,334.0,623.3,Medium,Rain,2224.2,18.31,4.84,0
S0314,South,Road,299.2,206.3,Medium,Cloudy,2721.97,11.34,2.43,0
S0315,North,Road,317.7,179.1,Medium,Cloudy,2810.81,8.66,3.51,0
S0316,East,Road,183.3,328.0,Low,Clear,1837.6,13.78,0.0,1
S0317,East,Rail,213.2,285.4,Medium,Clear,1378.27,11.69,3.15,0
S0318,East,Road,399.1,459.4,Low,Clear,3600.08,14.73,1.36,1
S0319,West,Road,388.6,358.4,Low,Rain,3518.22,18.38,4.87,0
S0320,West,Road,303.1,299.3,Low,Cloudy,2802.14,7.58,0.84,1
S0321,South,Road,485.6,133.8,Low,Clear,4098.54,5.5,1.22,1
S0322,North,Rail,407.7,503.6,Low,Clear,2585.91,11.96,0.0,1
S0323,East,Road,382.3,126.9,Medium,Rain,3429.13,8.83,5.18,0
S0324,West,Rail,88.9,624.4,Low,Cloudy,984.73,15.01,0.38,1
S0325,West,Rail,301.1,99.0,Low,Cloudy,1762.04,2.37,0.0,1
S0326,North,Road,272.2,122.5,Medium,Rain,2415.42,12.24,3.16,0
S0327,North,Air,518.9,205.7,Low,Cloudy,8341.15,5.72,0.91,1
S0328,North,Road,36.2,271.0,Medium,Cloudy,610.34,13.23,1.79,1
S0329,North,Rail,224.6,239.6,High,Clear,1477.98,8.28,4.35,0
S0330,East,Road,260.0,270.3,Medium,Clear,2329.28,9.49,0.0,1
S0331,East,Road,126.8,408.3,High,Rain,1366.02,22.99,5.09,0
S0332,South,Road,141.8,208.5,Low,Cloudy,1420.86,8.53,2.55,0
S0333,South,Road,519.8,410.4,Low,Clear,4555.03,6.87,1.08,1
S0334,West,Road,317.1,73.9,Medium,Cloudy,2726.3,10.18,1.28,1
S0335,South,Air,615.9,203.9,Medium,Clear,9828.86,5.19,1.62,1
S0336,West,Road,222.3,118.9,High,Rain,2027.15,12.33,8.01,0
S0337,West,Road,101.9,620.5,Low,Clear,1385.39,20.52,1.34,1
S0338,South,Road,204.6,225.1,Medium,Rain,1935.15,11.93,4.66,0
S0339,North,Road,185.0,486.6,Medium,Clear,1949.58,15.79,3.4,0
S0340,West,Road,357.4,106.3,Low,Clear,3067.88,5.59,0.0,1
S0341,East,Air,349.7,759.9,Low,Clear,6049.76,7.38,0.04,1
S0342,South,Road,325.6,370.2,High,Rain,3009.08,24.31,7.72,0
S0343,East,Road,718.4,965.9,Low,Clear,6506.06,28.21,1.13,1
S0344,East,Road,470.6,346.7,High,Clear,4174.73,18.14,4.08,0
S0345,West,Road,147.8,134.8,Medium,Cloudy,1468.92,10.79,2.68,0
S0346,South,Road,414.8,189.1,Medium,Clear,3596.99,6.71,1.67,1
S0347,West,Rail,250.6,304.8,Medium,Clear,1664.23,11.46,0.48,1
