shipment_id,carrier,origin,destination,distance_km,weight_kg,transit_time_hours,delivery_cost_inr,on_time_flag
SHP1178,TransGlobal,Delhi,Hyderabad,432.2,113.5,45.5,1724.11,Yes
SHP1179,FastFreight,Kolkata,Jaipur,401.1,57.9,163.0,2139.42,No
SHP1180,FastFreight,Delhi,Jaipur,377.8,94.3,41.1,2601.82,Yes
SHP1181,SwiftShip,Kolkata,Lucknow,541.2,36.2,35.7,2079.93,No
SHP1182,FastFreight,Mumbai,Pune,582.8,132.0,38.7,3153.8,Yes
SHP1183,UrbanCargo,Chennai,Pune,542.6,72.4,33.7,3420.39,Yes
SHP1184,UrbanCargo,Kolkata,Ahmedabad,363.2,82.4,43.1,1150.54,Yes
SHP1185,MetroLogix,Mumbai,Lucknow,742.1,84.5,43.2,2090.2,Yes
SHP1186,TransGlobal,Delhi,Jaipur,,95.2,40.6,2535.49,Yes
SHP1187,FastFreight,Delhi,Pune,326.1,42.0,42.1,3175.67,Yes
SHP1188,FastFreight,Mumbai,Jaipur,470.4,79.9,26.6,2227.45,Yes
SHP1189,SwiftShip,Delhi,Pune,460.7,63.5,39.2,2488.04,Yes
SHP1190,UrbanCargo,Mumbai,Pune,,37.8,48.5,1805.95,Yes
SHP1191,TransGlobal,Kolkata,Pune,639.6,104.7,40.9,1580.32,Yes
SHP1192,MetroLogix,Kolkata,Lucknow,435.6,71.2,,3367.23,Yes
SHP1193,UrbanCargo,Mumbai,Hyderabad,463.6,86.1,,1405.56,Yes
SHP1194,MetroLogix,Kolkata,Jaipur,378.7,84.5,39.7,3897.17,Yes
SHP1195,SwiftShip,Kolkata,Lucknow,520.6,71.6,28.4,2935.09,Yes
SHP1196,SwiftShip,Kolkata,Lucknow,411.8,,22.4,,No
SHP1197,FastFreight,Bangalore,Lucknow,411.7,78.8,32.8,2845.28,Yes
SHP1198,TransGlobal,Chennai,Lucknow,515.2,41.1,28.6,2348.39,Yes
SHP1199,MetroLogix,Delhi,Lucknow,574.2,,179.5,2735.25,No
SHP1058,MetroLogix,Delhi,Hyderabad,628.7,86.3,25.3,1823.3,Yes
SHP1040,MetroLogix,Bangalore,Pune,412.4,114.6,43.1,2152.32,No
SHP1034,SwiftShip,Mumbai,Jaipur,437.0,112.2,29.5,2665.31,No
