shipment_id,carrier,origin,destination,distance_km,weight_kg,transit_time_hours,delivery_cost_inr,on_time_flag,distance_km_norm,weight_kg_norm,transit_time_hours_norm,delivery_cost_inr_norm
SHP1022,Metrologix,Bangalore,Hyderabad,534.0,92.7,47.3,1974.21,Yes,0.6330269290523045,0.6142510906446922,0.7088014981273408,0.29387031345048864
SHP1023,Fastfreight,Chennai,Hyderabad,434.1,111.2,35.2,2522.6,Yes,0.46057742102537547,0.7577314590402326,0.4822097378277154,0.48952578371541683
SHP1024,Fastfreight,Mumbai,Ahmedabad,441.2,104.1,31.3,2338.49,Yes,0.47283359226652844,0.7026660203587008,0.4091760299625468,0.4238387204384133
SHP1025,Swiftship,Mumbai,Hyderabad,416.1,82.1,44.9,2448.32,No,0.4295054375970999,0.5320407174018419,0.6638576779026218,0.46302404529699415
SHP1026,Swiftship,Delhi,Pune,485.5,67.8,21.9,2514.27,Yes,0.5493051959261177,0.42113427047988367,0.2331460674157302,0.48655379285616185
SHP1027,Urbancargo,Delhi,Lucknow,318.3,90.1,41.0,2060.87,Yes,0.26068099430346964,0.594086282113427,0.5908239700374532,0.3247890082719818
SHP1028,Metrologix,Bangalore,Lucknow,490.9,52.7,25.6,3953.374999999999,Yes,0.5586267909546003,0.30402326708676686,0.3024344569288389,1.0
SHP1029,Metrologix,Chennai,Jaipur,439.6,59.6,48.8,1862.42,Yes,0.4700716381840152,0.35753756665050895,0.7368913857677903,0.2539856966250244
SHP1030,Swiftship,Delhi,Hyderabad,483.1,117.7,33.4,2514.27,Yes,0.5451622648023478,0.8081434803683956,0.448501872659176,0.48655379285616185
SHP1031,Metrologix,Mumbai,Pune,483.4,74.3,37.3,2873.99,No,0.5456801311928189,0.4715462918080465,0.5215355805243446,0.614895275676235
SHP1032,Metrologix,Chennai,Jaipur,167.28750000000005,71.3,40.1,2203.92,Yes,0.0,0.4482792050412021,0.5739700374531836,0.37582661840600695
SHP1033,Fastfreight,Chennai,Ahmedabad,341.8,100.7,16.7,2233.01,Yes,0.30124719489038493,0.6762966553562773,0.13576779026217214,0.3862053956083753
SHP1034,Swiftship,Mumbai,Jaipur,437.0,112.2,29.5,2665.31,No,0.46558346279993096,0.7654871546291808,0.37546816479400746,0.5404420881000845
SHP1035,Transglobal,Delhi,Jaipur,443.3,68.9,46.4,2020.87,Yes,0.4764586569998273,0.42966553562772664,0.6919475655430712,0.3105177436417057
SHP1036,Swiftship,Mumbai,Hyderabad,481.1,69.3,44.7,3587.19,Yes,0.5417098221992059,0.4327678138633058,0.6601123595505619,0.8693519240340587
SHP1037,Transglobal,Chennai,Ahmedabad,486.3,66.2,38.8,2714.76,Yes,0.5506861729673743,0.40872515753756666,0.549625468164794,0.5580849389992635
SHP1038,Fastfreight,Kolkata,Jaipur,631.9,104.1,22.5,2735.96,Yes,0.8020239944760919,0.7026660203587008,0.24438202247191004,0.5656487092533098
SHP1039,Urbancargo,Kolkata,Pune,487.5,104.3,41.9,2908.87,No,0.5527576385292594,0.7042171594764906,0.6076779026217229,0.6273398184338359
SHP1040,Metrologix,Bangalore,Pune,412.4,114.6,43.1,2152.32,No,0.42311841878128764,0.7841008240426562,0.6301498127340825,0.35741668703295076
SHP1041,Fastfreight,Mumbai,Lucknow,258.1,105.2,36.5,3153.41,Yes,0.1567624719489038,0.7111972855065439,0.5065543071161049,0.714587194751029
SHP1042,Metrologix,Mumbai,Ahmedabad,285.8,39.2,48.2,2568.72,Yes,0.20457880200241665,0.19932137663596705,0.7256554307116106,0.5059805518341252
SHP1043,Urbancargo,Bangalore,Ahmedabad,514.3,87.0,29.2,3070.09,Yes,0.5990203694113585,0.5700436257876879,0.36985018726591756,0.684860150526164
SHP1044,Urbancargo,Bangalore,Lucknow,577.3,53.5,30.9,2381.23,Yes,0.7077723114103227,0.31022782355792533,0.40168539325842695,0.43908756669586346
SHP1045,Fastfreight,Bangalore,Jaipur,413.2,67.2,11.2,3290.37,No,0.42449939582254437,0.4164808531265148,0.03277153558052416,0.7634520048450946
SHP1046,Urbancargo,Chennai,Ahmedabad,468.8,84.3,45.2,2740.81,Yes,0.5204773001898843,0.5491032476975278,0.6694756554307117,0.5673791000897307
SHP1047,Transglobal,Mumbai,Pune,413.5,100.9,39.1,3809.5,Yes,0.42501726221301567,0.677847794474067,0.555243445692884,0.9486680450329759
SHP1048,Urbancargo,Chennai,Pune,479.1,57.7,19.2,2278.29,Yes,0.5382573795960642,0.3428017450315075,0.18258426966292124,0.4023604671698478
SHP1049,Metrologix,Bangalore,Hyderabad,695.7,21.9,18.4,2622.73,Yes,0.9121569135163129,0.06514784294716432,0.1676029962546815,0.5252503269011556
SHP1050,Metrologix,Mumbai,Ahmedabad,463.8,84.5,27.3,1881.05,Yes,0.51184619368203,0.5506543868153175,0.3342696629213483,0.2606325381265755
SHP1051,Metrologix,Chennai,Jaipur,636.2,142.4375,43.9,2182.42,Yes,0.8094467460728466,1.0,0.6451310861423222,0.3681558136672335
SHP1052,Metrologix,Chennai,Lucknow,470.4,74.9,33.0,2871.21,Yes,0.5232392542723977,0.47619970916141546,0.4410112359550562,0.613903422784431
SHP1053,Transglobal,Bangalore,Lucknow,588.4,81.2,28.0,3177.59,Yes,0.7269333678577593,0.5250605913717887,0.347378277153558,0.7232141742200311
SHP1054,Swiftship,Mumbai,Jaipur,573.2,124.6,25.9,3953.374999999999,No,0.7006948040738824,0.8616577799321377,0.30805243445692876,1.0
SHP1055,Fastfreight,Bangalore,Hyderabad,413.2,94.8,25.5,2442.02,Yes,0.42449939582254437,0.6305380513814832,0.30056179775280895,0.4607763211177256
SHP1056,Metrologix,Mumbai,Lucknow,327.6,85.4,16.7,1940.07,Yes,0.2767348524080787,0.5576345128453709,0.13576779026217214,0.2816897890885479
SHP1057,Urbancargo,Kolkata,Ahmedabad,417.7,91.1,23.9,2952.0,Yes,0.43226739167961326,0.6018419777023751,0.27059925093632947,0.6427278095214312
SHP1058,Metrologix,Delhi,Hyderabad,628.7,86.3,25.3,1823.3,Yes,0.7965000863110652,0.5646146388754241,0.296816479400749,0.2400283998166143
SHP1059,Urbancargo,Delhi,Ahmedabad,555.3,51.5,42.8,2838.57,Yes,0.6697954427757637,0.2947164323800291,0.6245318352059925,0.6022580708461257
SHP1060,Urbancargo,Delhi,Pune,398.0,46.5,34.3,2198.65,Yes,0.3982608320386673,0.25593795443528844,0.46535580524344566,0.3739463792909681
SHP1061,Metrologix,Bangalore,Hyderabad,408.9,74.3,38.25,2626.96,Yes,0.41707664422578966,0.4715462918080465,0.5393258426966293,0.5267595131358074
SHP1062,Transglobal,Kolkata,Lucknow,242.3,84.6,59.1,3154.63,Yes,0.1294881753840842,0.5514299563742122,0.9297752808988766,0.7150224683222526
SHP1063,Urbancargo,Mumbai,Hyderabad,623.3,82.5,29.4,2433.56,Yes,0.7871784912825823,0.5351429956374212,0.3735955056179775,0.4577579486484222
SHP1064,Urbancargo,Chennai,Hyderabad,556.3,77.7,47.7,2401.34,Yes,0.6715216640773346,0.49791565681047023,0.7162921348314608,0.44626244498873485
SHP1065,Metrologix,Mumbai,Hyderabad,433.6,99.5,52.2,3023.9,No,0.45971431037459004,0.6669898206495395,0.8005617977528092,0.6683804076943526
SHP1066,Urbancargo,Chennai,Hyderabad,474.0,82.4,20.3,1381.4,Yes,0.5294536509580529,0.5343674260785265,0.20318352059925085,0.08236660381363876
SHP1067,Urbancargo,Mumbai,Ahmedabad,189.5,93.1,36.7,1959.04,Yes,0.038343690661142675,0.6173533688802714,0.5102996254681649,0.2884579363394564
SHP1068,Metrologix,Kolkata,Pune,391.6,65.3,30.8,1562.92,Yes,0.38721301570861383,0.4017450315075133,0.399812734082397,0.14712960270583186
SHP1069,Metrologix,Chennai,Jaipur,610.1,76.7,30.0,2505.58,Yes,0.7643923701018471,0.49015996122152206,0.3848314606741573,0.48345336061523436
SHP1070,Fastfreight,Bangalore,Hyderabad,567.8,106.8,41.6,2436.76,Yes,0.6913732090453996,0.7236063984488609,0.602059925093633,0.45889964981884435
SHP1071,Transglobal,Mumbai,Lucknow,489.7,65.4,29.8,3568.5,Yes,0.5565553253927152,0.4025206010664082,0.38108614232209737,0.8626836756355621
SHP1072,Transglobal,Mumbai,Hyderabad,448.2,74.15,37.849999999999994,1520.23,No,0.48491714137752445,0.47038293746970433,0.5318352059925093,0.13189859552916963
SHP1073,Urbancargo,Chennai,Lucknow,545.6,22.0,34.3,2156.34,Yes,0.6530510961505266,0.06592341250605914,0.46535580524344566,0.3588509491282935
SHP1074,Transglobal,Bangalore,Ahmedabad,416.2,74.3,32.3,2980.3,Yes,0.429678059727257,0.4715462918080465,0.4279026217228464,0.6528247292473516
SHP1075,Urbancargo,Bangalore,Lucknow,250.2,95.7,24.3,2607.56,Yes,0.14312532366649394,0.6375181774115366,0.2780898876404494,0.5198379497901233
SHP1076,Fastfreight,Kolkata,Jaipur,449.3,111.8,44.0,2819.72,Yes,0.4868159848092525,0.7623848763936015,0.6470037453183521,0.595532737389108
SHP1077,Metrologix,Bangalore,Pune,439.6,59.5,62.84999999999999,1747.72,Yes,0.4700716381840152,0.35676199709161416,1.0,0.21306284529770758
SHP1078,Metrologix,Bangalore,Lucknow,584.7,42.4,39.4,3326.08,Yes,0.7205463490419473,0.22413960252060106,0.5608614232209738,0.7761926763437735
SHP1079,Metrologix,Bangalore,Lucknow,277.1,73.5,32.2,2966.21,Yes,0.18956067667875018,0.46534173533688805,0.4260299625468165,0.6477976762813368
SHP1080,Transglobal,Delhi,Pune,459.5,51.9,28.9,2740.98,No,0.5044234420852753,0.29781871061560833,0.36423220973782766,0.5674397529644094
SHP1081,Fastfreight,Kolkata,Jaipur,441.0,76.3,29.0,2088.63,Yes,0.4724883480062144,0.48705768298594276,0.36610486891385763,0.33469326592539356
SHP1082,Transglobal,Mumbai,Hyderabad,317.8,79.8,59.6,2694.28,Yes,0.2598178836526842,0.5142026175472613,0.9391385767790265,0.5507780515085621
SHP1083,Transglobal,Chennai,Lucknow,508.5,74.15,45.4,2325.11,Yes,0.5890082858622475,0.47038293746970433,0.6732209737827716,0.41906498241958606
SHP1084,Fastfreight,Mumbai,Pune,539.7,100.1,27.6,1509.71,Yes,0.6428663904712585,0.6716432380029084,0.3398876404494382,0.12814525293140702
SHP1085,Fastfreight,Kolkata,Ahmedabad,415.1,76.1,37.6,2469.75,Yes,0.42777921629552906,0.4855065438681531,0.5271535580524345,0.4706698753226645
SHP1086,Fastfreight,Chennai,Pune,696.6,83.9,32.4,2405.96,Yes,0.9137105126877266,0.5460009694619486,0.4297752808988764,0.4479107760535317
SHP1087,Fastfreight,Kolkata,Ahmedabad,411.7,33.9,41.8,3137.44,Yes,0.4219100638701881,0.15821619001454193,0.6058052434456929,0.7088893923473913
SHP1088,Metrologix,Bangalore,Jaipur,396.4,54.6,41.4,1159.34,Yes,0.3954988779561539,0.3187590887057683,0.5983146067415731,0.0031396782186607335
SHP1089,Swiftship,Chennai,Hyderabad,392.9,92.9,46.8,2641.12,Yes,0.38945710340065587,0.6158022297624819,0.6994382022471911,0.531811540814925
SHP1090,Swiftship,Bangalore,Pune,352.1,60.0,27.5,1806.66,Yes,0.3190272742965648,0.36063984488608825,0.3380149812734082,0.23409155373041948
SHP1091,Fastfreight,Mumbai,Lucknow,382.9,75.9,37.0,2691.53,No,0.37219489038494724,0.4839554047503636,0.5159176029962547,0.5497969020652307
SHP1092,Swiftship,Mumbai,Jaipur,277.9,80.0,35.7,2724.57,Yes,0.1909416537200068,0.5157537566650509,0.49157303370786526,0.5615849666498387
SHP1093,Swiftship,Chennai,Pune,427.0,84.0,23.4,2447.89,Yes,0.44832124978422233,0.5467765390208434,0.2612359550561797,0.46287062920221855
SHP1094,Fastfreight,Chennai,Lucknow,456.9,63.1,44.8,2572.3,Yes,0.49993526670119104,0.38468250121182745,0.6619850187265918,0.5072578300185351
SHP1095,Swiftship,Kolkata,Pune,176.1,83.7,35.7,1752.54,Yes,0.01521232522009312,0.5444498303441591,0.49157303370786526,0.21478253268565584
SHP1096,Transglobal,Kolkata,Ahmedabad,437.8,60.4,27.6,3164.63,Yes,0.4669644398411876,0.3637421231216675,0.3398876404494382,0.7185902844798217
SHP1097,Urbancargo,Bangalore,Pune,455.1,96.9,35.9,2075.15,No,0.4968280683583636,0.6468250121182744,0.4953183520599251,0.32988384974499046
SHP1098,Urbancargo,Chennai,Pune,511.8,77.1,42.9,1566.46,Yes,0.5947048161574313,0.49326223945710124,0.6264044943820225,0.1483926096256113
SHP1099,Fastfreight,Mumbai,Pune,594.6,83.9,25.4,2336.56,Yes,0.7376359399274988,0.5460009694619486,0.2986891385767789,0.42315013192000256
SHP1100,Metrologix,Kolkata,Jaipur,552.2,142.4375,9.45000000000001,1242.91,Yes,0.6644441567408943,1.0,0.0,0.03295591784746521
SHP1101,Fastfreight,Kolkata,Pune,375.6,52.3,27.3,2652.5,Yes,0.35959347488348004,0.30092098885118757,0.3342696629213483,0.5358717156022387
SHP1102,Metrologix,Mumbai,Lucknow,361.6,114.7,48.1,2344.45,Yes,0.335426376661488,0.7848763936015511,0.7237827715355807,0.4259651388683245
SHP1103,Urbancargo,Kolkata,Ahmedabad,519.5,13.5,39.4,3240.21,Yes,0.607996720179527,0.0,0.5608614232209738,0.7455558389987283
SHP1104,Fastfreight,Bangalore,Ahmedabad,384.3,28.0,49.2,2889.35,No,0.3746116002071465,0.11245758603974794,0.7443820224719103,0.6203754412942611
SHP1105,Transglobal,Chennai,Pune,302.6,49.0,24.7,1664.8,Yes,0.23357931986880714,0.27532719340765877,0.2855805243445692,0.18347851371914514
SHP1106,Swiftship,Mumbai,Jaipur,734.9,50.6,19.6,1996.97,Yes,0.9798247885378906,0.28773630634997577,0.1900749063670411,0.30199066302511574
SHP1107,Metrologix,Chennai,Jaipur,412.7,85.1,40.6,2812.4,Yes,0.42363628517175894,0.5553078041686863,0.5833333333333334,0.5929210959617676
SHP1108,Swiftship,Kolkata,Lucknow,374.8,87.2,35.7,3008.25,Yes,0.3582124978422233,0.5715947649054774,0.49157303370786526,0.662796775407757
SHP1109,Swiftship,Kolkata,Pune,460.7,76.7,39.1,3233.5,Yes,0.5064949076471602,0.49015996122152206,0.555243445692884,0.7431618343569995
SHP1110,Fastfreight,Mumbai,Ahmedabad,552.2,76.3,45.3,3228.71,Yes,0.6644441567408943,0.48705768298594276,0.6713483146067416,0.741452850417524
SHP1111,Swiftship,Bangalore,Jaipur,331.4,93.2,40.2,2446.29,Yes,0.2832944933540479,0.6181289384391663,0.5758426966292136,0.46229977861700755
SHP1112,Transglobal,Delhi,Pune,453.4,100.8,40.1,2717.59,Yes,0.49389349214569306,0.677072224915172,0.5739700374531836,0.5590946309718555
SHP1113,Swiftship,Mumbai,Jaipur,566.2,46.8,43.2,3279.24,Yes,0.6886112549628863,0.2582646631119728,0.6320224719101125,0.7594810254617201
SHP1114,Fastfreight,Delhi,Jaipur,333.3,83.9,41.0,2318.01,Yes,0.2865743138270326,0.5460009694619486,0.5908239700374532,0.41653183294771207
SHP1115,Transglobal,Delhi,Ahmedabad,459.5,78.3,44.6,2727.84,No,0.5044234420852753,0.502569074163839,0.6582397003745319,0.5627516425333637
SHP1116,Urbancargo,Bangalore,Hyderabad,632.9,82.4,62.84999999999999,2303.87,Yes,0.8037502157776627,0.5343674260785265,1.0,0.41148694090090937
SHP1117,Swiftship,Delhi,Lucknow,167.28750000000005,60.7,51.3,2169.43,Yes,0.0,0.3660688317983519,0.7837078651685394,0.36352122047855123
SHP1118,Fastfreight,Delhi,Lucknow,352.7,77.8,29.5,2529.03,Yes,0.32006300707750723,0.49869122636936497,0.37546816479400746,0.4918198895047338
SHP1119,Urbancargo,Bangalore,Ahmedabad,341.5,80.7,40.8,2087.47,No,0.30072932849991363,0.5211827435773146,0.5870786516853933,0.33427939925111544
SHP1120,Urbancargo,Delhi,Jaipur,427.6,62.4,32.3,2421.45,No,0.4493569825651649,0.3792535142995637,0.4279026217228464,0.453437323281606
SHP1121,Metrologix,Delhi,Pune,444.3,61.8,27.7,2505.58,Yes,0.47818487830139816,0.37460009694619484,0.3417602996254681,0.48345336061523436
SHP1122,Transglobal,Delhi,Jaipur,322.6,82.5,29.1,2386.0,No,0.2681037459002244,0.5351429956374212,0.36797752808988765,0.4407894150030239
SHP1123,Swiftship,Mumbai,Ahmedabad,371.5,76.7,40.9,2769.03,Yes,0.35251596754703945,0.49015996122152206,0.5889513108614233,0.5774474772863907
SHP1124,Fastfreight,Mumbai,Lucknow,357.2,92.5,40.2,2146.74,Yes,0.3278310029345761,0.6126999515269026,0.5758426966292136,0.3554258456170271
SHP1125,Metrologix,Mumbai,Jaipur,407.9,53.7,40.0,2505.58,Yes,0.4153504229242188,0.311778962675715,0.5720973782771536,0.48345336061523436
SHP1126,Transglobal,Bangalore,Lucknow,476.2,71.2,33.7,2583.61,Yes,0.5332513378215086,0.4475036354823073,0.45411985018726597,0.5112930300927456
SHP1127,Metrologix,Kolkata,Pune,559.3,74.3,36.0,2771.52,Yes,0.6767003279820473,0.4715462918080465,0.4971910112359551,0.5783358635096253
SHP1128,Transglobal,Delhi,Lucknow,576.6,100.3,62.84999999999999,2419.85,No,0.7065639564992232,0.673194377120698,1.0,0.452866472696395
SHP1129,Transglobal,Delhi,Lucknow,528.4,56.5,21.1,3953.374999999999,Yes,0.6233600897635077,0.33349491032476974,0.21816479400749056,1.0
SHP1130,Swiftship,Bangalore,Hyderabad,460.7,85.9,36.2,1239.45,Yes,0.5064949076471602,0.5615123606398449,0.500936329588015,0.03172145345694631
SHP1131,Transglobal,Delhi,Hyderabad,449.6,86.3,36.9,2638.945,Yes,0.48733385119972383,0.5646146388754241,0.5140449438202247,0.5310355408006538
SHP1132,Metrologix,Mumbai,Hyderabad,734.9,121.2,43.5,1977.32,Yes,0.9798247885378906,0.8352884149297141,0.6376404494382023,0.2949799042754926
SHP1133,Transglobal,Kolkata,Lucknow,571.7,54.8,22.5,2742.03,Yes,0.6981054721215261,0.3203102278235579,0.24438202247191004,0.5678143736609542
SHP1134,Swiftship,Chennai,Ahmedabad,397.1,63.6,51.0,1936.92,Yes,0.39670723286725357,0.3885603490063015,0.7780898876404496,0.28056592699891375
SHP1135,Swiftship,Delhi,Lucknow,639.8,56.6,38.1,2886.56,Yes,0.8156611427585015,0.3342704798836646,0.5365168539325843,0.6193800205862994
SHP1136,Metrologix,Mumbai,Ahmedabad,403.4,38.3,38.7,2665.94,No,0.4075824270671499,0.1923412506059137,0.5477528089887641,0.5406668605180114
SHP1137,Urbancargo,Chennai,Ahmedabad,369.8,124.1,32.0,2401.34,Yes,0.34958139133436905,0.8577799321376636,0.42228464419475653,0.44626244498873485
SHP1138,Urbancargo,Kolkata,Hyderabad,617.5,49.0,41.4,3143.85,Yes,0.7771664077334715,0.27532719340765877,0.5983146067415731,0.7111763625043931
SHP1139,Transglobal,Chennai,Jaipur,292.8,59.6,36.5,2401.62,Yes,0.2166623511134127,0.35753756665050895,0.5065543071161049,0.44636234384114665
SHP1140,Fastfreight,Mumbai,Pune,220.3,112.9,48.1,2828.33,Yes,0.09151130674952523,0.7709161415414445,0.7237827715355807,0.5986046271007749
SHP1141,Transglobal,Chennai,Hyderabad,459.5,36.2,21.6,1949.7,Yes,0.5044234420852753,0.17605428986912267,0.2275280898876404,0.28512559604828697
SHP1142,Metrologix,Bangalore,Hyderabad,453.3,98.9,37.8,3953.374999999999,Yes,0.49372087001553594,0.6623364032961707,0.5308988764044944,1.0
SHP1143,Metrologix,Chennai,Jaipur,465.3,44.7,38.25,3702.04,No,0.5144355256343862,0.2419777023751818,0.5393258426966293,0.910328292603739
SHP1144,Metrologix,Delhi,Pune,406.6,111.2,34.1,3077.78,Yes,0.41310633523217677,0.7577314590402326,0.4616104868913858,0.6876038011513346
SHP1145,Metrologix,Delhi,Lucknow,421.4,25.8,32.0,2684.57,No,0.4386544104954254,0.09539505574406205,0.42228464419475653,0.5473137020195625
SHP1146,Metrologix,Bangalore,Lucknow,395.0,36.2,32.4,2230.65,No,0.3930821681339547,0.17605428986912267,0.4297752808988764,0.38536339099518896
SHP1147,Swiftship,Mumbai,Hyderabad,374.9,66.4,37.7,2540.5,Yes,0.3583851199723804,0.4102762966553563,0.5290262172284645,0.49591217463746545
SHP1148,Urbancargo,Delhi,Pune,404.2,104.3,17.9,2618.54,No,0.40896340410840665,0.7042171594764906,0.1582397003745317,0.5237554119311342
SHP1149,Metrologix,Kolkata,Hyderabad,439.6,79.2,45.7,2769.54,Yes,0.4700716381840152,0.5095492001938924,0.6788389513108616,0.5776294359104266
SHP1150,Fastfreight,Delhi,Ahmedabad,350.6,71.6,31.2,1854.0,Yes,0.3164379423442085,0.45060591371788655,0.40730337078651685,0.25098159542035126
SHP1151,Fastfreight,Delhi,Hyderabad,384.6,113.7,37.3,2572.3,Yes,0.3751294665976178,0.777120698012603,0.5215355805243446,0.5072578300185351
SHP1152,Fastfreight,Mumbai,Hyderabad,167.28750000000005,133.9,39.7,1846.24,No,0.0,0.9337857489093554,0.5664794007490638,0.2482129700820777
SHP1153,Fastfreight,Chennai,Lucknow,532.2,96.8,30.7,3478.68,No,0.629919730709477,0.6460494425593796,0.397940074906367,0.8306375509082771
SHP1154,Swiftship,Delhi,Lucknow,496.8,64.4,34.7,2037.02,Yes,0.5688114966338684,0.39476490547746007,0.4728464419475656,0.31627976673617975
SHP1155,Fastfreight,Bangalore,Lucknow,439.8,69.5,15.6,2677.98,Yes,0.4704168824443293,0.4343189529810955,0.11516853932584255,0.5449625111717246
SHP1156,Metrologix,Chennai,Ahmedabad,478.5,47.8,38.25,3103.09,Yes,0.5372216468151217,0.26602035870092094,0.5393258426966293,0.6966339438461417
SHP1157,Transglobal,Kolkata,Lucknow,482.8,82.5,46.8,2348.57,Yes,0.5446443984118763,0.5351429956374212,0.6994382022471911,0.42743507912524303
SHP1158,Fastfreight,Mumbai,Pune,363.1,39.3,19.0,2704.36,Yes,0.3380157086138443,0.20009694619486182,0.1788389513108613,0.5543744101953917
SHP1159,Swiftship,Kolkata,Jaipur,386.1,93.8,31.9,3361.11,Yes,0.3777187985499741,0.6227823557925352,0.42041198501872656,0.788690736343738
SHP1160,Swiftship,Chennai,Pune,513.4,130.1,23.7,2838.64,Yes,0.5974667702399448,0.9043141056713524,0.2668539325842696,0.6022830455592286
SHP1161,Fastfreight,Chennai,Pune,474.9,97.9,34.2,2713.33,Yes,0.5310072501294666,0.6545807077072225,0.4634831460674158,0.5575747412887311
SHP1162,Transglobal,Chennai,Lucknow,695.2,68.3,42.5,1489.13,No,0.9112938028655275,0.4250121182743577,0.6189138576779027,0.12080268727912997
SHP1163,Fastfreight,Kolkata,Jaipur,644.4,93.2,45.9,1939.77,Yes,0.8236017607457276,0.6181289384391663,0.6825842696629214,0.2815827546038209
SHP1164,Swiftship,Chennai,Jaipur,562.0,120.5,47.2,3128.15,No,0.6813611254962887,0.8298594280174503,0.706928838951311,0.7055748911370098
SHP1165,Urbancargo,Kolkata,Jaipur,358.6,119.3,49.1,2401.34,Yes,0.3302477127567754,0.8205525933107125,0.7425093632958804,0.44626244498873485
SHP1166,Metrologix,Chennai,Ahmedabad,382.3,54.9,33.8,2932.88,No,0.3711591576040048,0.32108579738245274,0.45599250936329583,0.6359061450281592
SHP1167,Swiftship,Bangalore,Lucknow,329.8,92.8,24.5,3953.374999999999,No,0.28053253927153454,0.615026660203587,0.2818352059925093,1.0
SHP1168,Fastfreight,Chennai,Jaipur,483.6,76.0,34.9,3273.85,Yes,0.5460253754531331,0.4847309743092584,0.47659176029962547,0.7575579725527906
SHP1169,Metrologix,Kolkata,Ahmedabad,167.28750000000005,100.2,42.3,2343.16,Yes,0.0,0.6724188075618032,0.6151685393258427,0.4255048905839981
SHP1170,Fastfreight,Delhi,Hyderabad,395.0,89.6,23.7,2572.3,Yes,0.3930821681339547,0.590208434318953,0.2668539325842696,0.5072578300185351
