shipment_id,carrier,vehicle_type,region_type,weather,distance_km,weight_kg,num_stops,traffic_index,driver_experience_years,delivery_time_hours
ORD2101,SwiftShip,Mini-Truck,Rural,Clear,38.4,10.2,2,,1.4,5.19
ORD2102,UrbanCargo,Mini-Truck,Rural,Clear,136.0,75.3,4,0.44,3.5,8.34
ORD2103,TransGlobal,Mini-Truck,Suburban,Clear,299.4,48.7,4,0.79,,13.09
ORD2104,MetroLogix,Mini-Truck,Suburban,Clear,188.3,90.2,5,0.28,4.5,9.05
ORD2105,TransGlobal,Van,Rural,Clear,97.3,115.7,2,0.28,0.6,6.46
ORD2106,UrbanCargo,Van,Urban,Rain,31.4,172.5,4,0.36,1.2,9.28
ORD2107,UrbanCargo,Van,Rural,Clear,459.4,72.6,3,0.32,0.6,16.63
ORD2108,FastFreight,Mini-Truck,Urban,Clear,36.3,66.5,6,0.9,0.9,5.75
ORD2109,TransGlobal,Bike,Urban,Rain,230.8,41.4,3,0.38,3.9,8.32
ORD2110,MetroLogix,Van,Suburban,Fog,270.7,88.9,4,0.98,4.1,15.64
ORD2111,TransGlobal,Van,Suburban,Rain,174.8,16.4,10,0.24,2.6,11.59
ORD2112,MetroLogix,Van,Urban,Rain,56.2,50.6,2,0.26,8.4,5.07
ORD2113,MetroLogix,Van,Suburban,Clear,61.2,75.5,2,0.54,4.7,3.96
ORD2114,SwiftShip,Van,Suburban,Clear,191.2,84.3,5,0.7,2.0,9.3
ORD2115,FastFreight,Truck,Urban,Clear,253.3,50.3,4,0.71,0.8,9.38
ORD2116,TransGlobal,Truck,Urban,Clear,72.4,100.3,4,0.29,5.8,7.38
ORD2117,FastFreight,Bike,Suburban,Clear,130.9,56.9,2,0.62,6.1,5.93
ORD2118,UrbanCargo,Van,Rural,Clear,211.3,97.6,3,0.35,2.2,6.71
ORD2119,MetroLogix,Mini-Truck,Suburban,Rain,110.1,86.3,2,0.39,2.3,8.74
ORD2120,FastFreight,Truck,Urban,Storm,108.7,95.4,9,0.4,6.3,12.74
ORD2121,MetroLogix,Van,Urban,Rain,163.9,31.3,1,0.42,9.1,7.18
ORD2122,FastFreight,Mini-Truck,Rural,Rain,178.1,71.1,4,0.89,9.3,11.7
ORD2123,TransGlobal,Bike,Urban,Clear,398.3,119.7,5,0.84,6.2,12.7
ORD2124,TransGlobal,Van,Rural,Clear,139.4,110.3,7,0.32,8.6,8.04
ORD2125,UrbanCargo,Bike,Urban,Rain,138.8,56.7,2,0.75,9.3,8.15
ORD2126,UrbanCargo,Van,Urban,Clear,78.2,75.7,5,0.38,7.9,4.76
ORD2127,MetroLogix,Van,Rural,Clear,162.2,81.6,6,0.21,6.4,10.58
ORD2128,TransGlobal,Truck,Suburban,Storm,155.2,22.5,4,0.25,1.6,12.81
ORD2129,TransGlobal,Van,Rural,Clear,147.9,57.3,4,0.8,0.8,7.55
ORD2130,SwiftShip,Van,Rural,Rain,114.3,86.7,3,0.74,3.6,8.23
ORD2131,FastFreight,Truck,Urban,Clear,202.1,77.4,5,0.62,1.7,9.37
ORD2132,MetroLogix,Mini-Truck,Urban,Storm,304.4,56.5,5,0.3,0.3,14.84
ORD2133,UrbanCargo,Van,Urban,Clear,113.8,39.2,9,0.84,2.4,8.57
ORD2134,MetroLogix,Mini-Truck,Urban,Rain,189.5,61.3,10,0.61,1.0,12.74
ORD2135,UrbanCargo,Bike,Urban,Fog,320.3,51.5,2,,3.0,10.44
ORD2136,UrbanCargo,Van,Urban,Rain,161.9,32.9,4,0.85,2.2,10.2
ORD2137,MetroLogix,Mini-Truck,Urban,Clear,322.3,8.8,7,0.44,3.8,9.35
ORD2138,UrbanCargo,Van,Urban,Clear,109.0,51.6,5,0.45,0.5,5.1
ORD2139,MetroLogix,Van,Urban,Clear,144.2,13.0,1,0.28,0.7,3.25
ORD2140,FastFreight,Mini-Truck,Suburban,Clear,138.5,57.4,4,0.47,4.8,6.16
ORD2141,SwiftShip,Van,Suburban,Clear,166.0,24.3,5,0.85,3.5,7.69
ORD2142,TransGlobal,Mini-Truck,Urban,Clear,275.9,119.9,3,0.7,1.1,9.07
ORD2143,TransGlobal,Bike,Urban,Clear,118.4,60.3,6,0.41,2.3,5.34
ORD2144,FastFreight,Mini-Truck,Urban,Storm,80.9,88.0,5,0.42,6.2,9.71
ORD2145,TransGlobal,Mini-Truck,Rural,Clear,315.6,77.9,3,0.72,3.6,13.98
ORD2146,MetroLogix,Van,Urban,Clear,253.7,88.1,4,0.88,3.5,10.87
ORD2147,FastFreight,Van,Suburban,Clear,41.9,88.7,4,0.53,4.2,4.28
ORD2148,MetroLogix,Truck,Urban,Storm,199.9,73.4,6,0.2,4.8,14.54
ORD2149,SwiftShip,Truck,Urban,Fog,350.0,114.9,7,0.96,2.8,17.5
ORD2150,SwiftShip,Mini-Truck,Urban,Clear,166.2,95.7,6,0.91,6.0,8.97
ORD2151,FastFreight,Van,Urban,Fog,115.6,55.2,3,0.7,0.9,7.84
ORD2152,UrbanCargo,Van,Rural,Rain,231.1,46.2,5,0.23,2.3,11.86
ORD2153,UrbanCargo,Truck,Suburban,Clear,214.1,103.0,5,0.56,1.7,10.81
ORD2154,SwiftShip,Mini-Truck,Urban,Clear,99.0,81.5,4,0.43,1.9,4.99
ORD2155,FastFreight,Truck,Urban,Clear,110.5,58.8,3,0.27,2.5,5.93
ORD2156,SwiftShip,Van,Rural,Clear,121.8,17.2,3,0.53,13.9,4.68
ORD2157,UrbanCargo,Truck,Urban,Clear,109.0,40.5,3,0.61,1.0,6.1
ORD2158,UrbanCargo,Truck,Urban,Fog,29.1,39.5,4,0.61,2.7,8.36
ORD2159,UrbanCargo,Truck,Suburban,Clear,41.7,93.7,5,0.42,2.2,5.67
ORD2160,TransGlobal,Bike,Suburban,Clear,139.1,74.2,1,0.4,6.0,4.64
ORD2161,UrbanCargo,Bike,Suburban,Fog,210.8,71.6,4,0.85,2.6,14.01
ORD2162,MetroLogix,Van,Rural,Clear,74.5,81.8,8,0.29,1.3,7.48
ORD2163,MetroLogix,Mini-Truck,Urban,Clear,213.2,87.8,2,0.62,7.9,8.11
ORD2164,TransGlobal,Truck,Rural,Fog,157.0,76.5,7,0.65,2.7,13.0
ORD2165,SwiftShip,Mini-Truck,Urban,Clear,122.3,77.6,3,0.34,1.5,5.33
ORD2166,SwiftShip,Van,Rural,Fog,283.1,61.8,3,0.22,2.4,13.22
ORD2167,TransGlobal,Mini-Truck,Suburban,Storm,416.1,75.9,4,0.6,2.8,22.09
ORD2168,TransGlobal,Bike,Suburban,Clear,160.8,95.1,2,0.63,3.2,6.91
ORD2169,MetroLogix,Truck,Urban,Rain,194.5,83.6,4,0.32,2.4,9.56
ORD2170,MetroLogix,Van,Rural,Clear,143.6,97.1,4,0.2,2.7,7.96
ORD2171,TransGlobal,Mini-Truck,Urban,Clear,269.9,93.3,5,0.62,4.1,11.08
ORD2172,SwiftShip,Bike,Urban,Clear,145.9,81.1,8,0.21,2.9,5.82
ORD2173,SwiftShip,Mini-Truck,Urban,Clear,66.1,54.9,4,0.53,5.0,4.83
ORD2174,FastFreight,Truck,Urban,Rain,53.6,113.4,7,0.82,2.6,12.64
ORD2175,SwiftShip,Van,Suburban,Clear,104.1,80.8,4,0.88,2.5,7.37
ORD2176,SwiftShip,Van,Rural,Clear,69.1,67.3,1,0.67,4.1,5.22
ORD2177,MetroLogix,Truck,Suburban,Clear,89.4,48.0,3,0.68,5.0,9.57
ORD2178,SwiftShip,Van,Urban,Clear,107.0,27.8,2,0.31,4.3,3.96
ORD2179,MetroLogix,Truck,Suburban,Clear,96.3,57.7,4,0.6,5.5,4.96
ORD2180,MetroLogix,Bike,Suburban,Storm,191.7,42.8,3,0.39,8.0,10.84
ORD2181,SwiftShip,Truck,Rural,Clear,86.5,31.0,4,,0.9,7.33
ORD2182,UrbanCargo,Van,Urban,Clear,71.2,80.7,5,0.51,5.0,6.25
ORD2183,TransGlobal,Van,Suburban,Clear,47.0,127.3,4,0.7,6.1,4.63
ORD2184,TransGlobal,Mini-Truck,Urban,Clear,304.3,30.9,6,0.81,10.4,8.11
ORD2185,FastFreight,Van,Suburban,Clear,135.8,111.7,4,0.55,2.1,8.12
ORD2186,UrbanCargo,Van,Rural,Clear,183.8,51.3,2,0.95,3.4,8.93
ORD2187,MetroLogix,Truck,Rural,Clear,193.7,8.9,4,0.62,0.3,9.3
ORD2188,FastFreight,Van,Rural,Clear,56.4,75.4,3,0.42,0.8,3.61
ORD2189,MetroLogix,Van,Urban,Clear,150.5,82.3,5,0.89,3.2,9.57
ORD2190,FastFreight,Bike,Suburban,Rain,147.1,121.2,3,0.74,1.2,9.55
ORD2191,MetroLogix,Truck,Urban,Clear,57.6,33.4,2,0.21,1.1,1.52
ORD2192,UrbanCargo,Van,Rural,Clear,104.7,64.8,5,0.41,1.6,5.39
ORD2193,UrbanCargo,Mini-Truck,Urban,Fog,204.9,109.9,5,0.81,2.1,12.29
ORD2194,MetroLogix,Bike,Urban,Rain,248.2,16.2,5,0.73,1.4,8.89
ORD2195,TransGlobal,Van,Suburban,Clear,582.8,64.5,3,0.58,0.6,17.36
ORD2196,SwiftShip,Truck,Urban,Rain,443.4,81.9,6,0.96,5.0,20.46
ORD2197,MetroLogix,Truck,Urban,Clear,152.0,80.4,4,0.47,1.8,8.3
ORD2198,SwiftShip,Truck,Rural,Clear,167.2,50.7,5,0.76,,10.71
ORD2199,SwiftShip,Truck,Rural,Clear,141.2,68.0,4,0.48,2.4,9.31
ORD2200,FastFreight,Mini-Truck,Suburban,Clear,94.7,88.6,2,0.42,2.7,5.14
ORD2201,FastFreight,Van,Urban,Rain,229.6,91.9,5,0.37,3.1,11.43
ORD2202,TransGlobal,Truck,Urban,Clear,280.1,80.2,1,0.27,5.7,6.66
ORD2203,SwiftShip,Truck,Urban,Clear,104.0,92.4,5,0.3,3.7,6.86
ORD2204,FastFreight,Mini-Truck,Urban,Fog,94.6,55.8,5,0.34,1.8,9.38
ORD2205,UrbanCargo,Truck,Suburban,Rain,110.9,20.5,1,0.44,7.1,7.55
ORD2206,MetroLogix,Truck,Suburban,Clear,26.4,97.4,4,0.97,4.9,6.07
ORD2207,SwiftShip,Truck,Suburban,Clear,172.3,73.5,4,0.33,5.7,6.65
ORD2208,FastFreight,Bike,Suburban,Fog,405.3,60.0,6,0.55,1.8,15.0
ORD2209,SwiftShip,Truck,Suburban,Clear,158.4,92.9,6,0.35,1.0,6.85
ORD2210,UrbanCargo,Van,Suburban,Fog,69.4,4.7,6,0.54,4.7,8.2
ORD2211,SwiftShip,Mini-Truck,Urban,Clear,158.3,77.9,4,0.22,0.5,5.71
ORD2212,TransGlobal,Van,Urban,Clear,218.9,47.5,2,0.42,2.6,6.2
ORD2213,FastFreight,Mini-Truck,Urban,Clear,131.6,58.4,5,0.4,3.5,7.36
ORD2214,SwiftShip,Van,Suburban,Clear,84.0,48.6,5,0.63,0.7,5.21
ORD2215,SwiftShip,Mini-Truck,Urban,Clear,153.3,23.0,3,0.21,,5.24
ORD2216,UrbanCargo,Truck,Suburban,Fog,143.4,89.0,4,0.59,3.1,11.85
ORD2217,TransGlobal,Mini-Truck,Suburban,Fog,176.1,1.0,3,0.27,4.3,9.14
ORD2218,MetroLogix,Van,Suburban,Rain,250.3,46.8,5,0.9,2.1,14.21
ORD2219,FastFreight,Mini-Truck,Suburban,Storm,88.0,55.6,5,0.54,5.3,12.2
ORD2220,MetroLogix,Van,Suburban,Clear,133.5,111.3,3,0.81,1.3,7.42
ORD2221,TransGlobal,Mini-Truck,Urban,Clear,163.8,83.8,7,0.87,5.9,10.44
ORD2222,MetroLogix,Van,Suburban,Fog,213.0,37.9,5,0.45,1.7,12.05
ORD2223,SwiftShip,Van,Rural,Fog,154.2,25.0,4,0.84,0.2,12.81
ORD2224,MetroLogix,Truck,Suburban,Clear,250.3,107.0,3,0.64,7.2,9.84
ORD2225,UrbanCargo,Truck,Suburban,Clear,174.0,95.7,4,0.85,1.3,8.9
ORD2226,MetroLogix,Van,Urban,Fog,48.1,94.6,3,0.84,7.8,8.84
ORD2227,SwiftShip,Mini-Truck,Suburban,Clear,330.1,9.6,8,0.33,1.4,14.35
ORD2228,SwiftShip,Truck,Suburban,Clear,100.5,61.9,7,0.72,1.2,6.66
ORD2229,SwiftShip,Truck,Rural,Clear,278.4,103.1,2,0.53,9.9,10.86
ORD2230,FastFreight,Van,Suburban,Rain,326.1,29.1,6,0.22,6.6,12.48
ORD2231,SwiftShip,Bike,Rural,Rain,91.7,86.1,5,0.39,4.5,7.57
ORD2232,UrbanCargo,Mini-Truck,Rural,Clear,52.0,83.0,3,0.37,3.4,4.32
ORD2233,UrbanCargo,Van,Urban,Clear,126.3,92.2,5,0.64,4.1,8.28
ORD2234,SwiftShip,Bike,Urban,Clear,107.1,102.9,3,0.49,,4.97
ORD2235,SwiftShip,Bike,Suburban,Clear,212.8,126.0,7,0.34,1.6,9.43
ORD2236,FastFreight,Truck,Urban,Clear,13.3,67.2,5,0.83,3.0,5.12
ORD2237,FastFreight,Truck,Rural,Clear,190.7,38.5,3,0.33,2.8,8.08
ORD2238,MetroLogix,Mini-Truck,Urban,Fog,98.2,45.4,3,0.79,8.6,8.37
ORD2239,TransGlobal,Truck,Urban,Clear,54.9,104.7,3,0.77,4.4,6.13
ORD2240,SwiftShip,Truck,Urban,Clear,158.7,1.7,5,0.34,0.5,6.95
ORD2241,MetroLogix,Van,Urban,Rain,99.5,40.9,1,0.76,3.5,9.03
ORD2242,SwiftShip,Truck,Urban,Clear,267.1,92.0,3,0.75,4.2,10.93
ORD2243,FastFreight,Bike,Urban,Rain,211.8,49.0,3,0.74,2.9,9.45
ORD2244,TransGlobal,Bike,Urban,Rain,93.3,53.8,5,0.97,5.7,7.63
ORD2245,FastFreight,Van,Urban,Clear,192.7,85.1,3,0.94,3.7,7.76
ORD2246,FastFreight,Van,Urban,Clear,124.0,67.1,3,0.56,10.5,5.95
ORD2247,SwiftShip,Bike,Suburban,Clear,483.1,90.8,3,0.45,2.9,12.84
ORD2248,SwiftShip,Truck,Urban,Clear,91.7,64.7,7,0.29,6.3,7.88
ORD2249,MetroLogix,Van,Urban,Clear,249.9,53.3,6,0.46,2.2,8.51
ORD2250,MetroLogix,Van,Urban,Fog,206.9,49.5,4,0.72,4.5,12.5
ORD2251,SwiftShip,Mini-Truck,Rural,Fog,108.0,34.0,6,0.87,3.7,11.26
ORD2252,SwiftShip,Van,Urban,Clear,81.4,70.7,3,0.32,7.0,1.72
ORD2253,FastFreight,Truck,Suburban,Clear,149.7,79.9,3,0.62,2.8,6.66
ORD2254,FastFreight,Van,Urban,Storm,99.0,47.4,4,0.33,,10.99
ORD2255,TransGlobal,Mini-Truck,Rural,Rain,428.1,108.7,5,0.9,4.3,19.16
ORD2256,UrbanCargo,Van,Urban,Clear,12.2,39.3,4,0.93,6.0,3.8
ORD2257,FastFreight,Bike,Urban,Clear,160.5,47.8,4,0.27,5.2,6.36
ORD2258,SwiftShip,Truck,Urban,Rain,128.5,39.8,2,0.26,4.9,7.12
ORD2259,MetroLogix,Truck,Urban,Rain,242.1,75.6,1,0.87,5.4,12.36
ORD2260,UrbanCargo,Truck,Rural,Fog,290.2,97.6,5,0.55,3.9,18.41
ORD2261,MetroLogix,Mini-Truck,Rural,Storm,169.6,63.7,5,0.49,3.7,13.82
ORD2262,UrbanCargo,Truck,Urban,Rain,137.6,40.1,9,0.99,0.8,13.2
ORD2263,FastFreight,Truck,Urban,Fog,106.5,41.0,10,0.93,3.0,11.59
ORD2264,SwiftShip,Truck,Suburban,Clear,179.4,74.8,6,0.39,4.0,7.63
ORD2265,TransGlobal,Truck,Rural,Rain,306.1,66.1,10,,1.7,19.48
ORD2266,MetroLogix,Van,Rural,Clear,70.1,40.7,6,0.94,1.4,8.81
ORD2267,UrbanCargo,Bike,Rural,Fog,289.6,54.9,1,0.94,0.9,14.45
ORD2268,MetroLogix,Mini-Truck,Suburban,Clear,265.9,42.8,6,0.55,3.5,9.49
ORD2269,SwiftShip,Truck,Urban,Clear,121.4,29.8,1,0.53,1.7,4.82
ORD2270,UrbanCargo,Truck,Urban,Clear,104.9,61.5,6,0.83,0.6,6.74
ORD2271,SwiftShip,Truck,Urban,Clear,130.4,64.9,6,0.3,1.8,5.76
ORD2272,FastFreight,Mini-Truck,Suburban,Rain,175.6,84.9,4,0.45,5.3,10.2
ORD2273,MetroLogix,Van,Suburban,Clear,107.0,118.2,3,0.26,3.2,5.01
ORD2274,UrbanCargo,Truck,Urban,Rain,247.2,61.5,4,0.33,1.4,12.98
ORD2275,UrbanCargo,Mini-Truck,Suburban,Clear,56.9,90.4,2,0.31,3.6,1.92
ORD2276,UrbanCargo,Truck,Suburban,Rain,241.9,99.9,2,0.46,1.6,12.03
ORD2277,UrbanCargo,Bike,Urban,Storm,64.2,72.4,5,0.8,7.3,10.17
ORD2278,FastFreight,Truck,Urban,Clear,187.6,99.3,4,0.94,7.5,8.04
ORD2279,TransGlobal,Truck,Suburban,Clear,360.7,81.3,4,0.36,4.0,15.89
ORD2280,MetroLogix,Bike,Urban,Fog,37.6,36.4,2,0.34,1.2,7.98
ORD2281,MetroLogix,Truck,Suburban,Clear,90.0,107.9,5,0.64,0.6,7.87
ORD2282,UrbanCargo,Mini-Truck,Rural,Clear,213.9,64.5,4,0.73,2.6,10.59
ORD2283,FastFreight,Van,Rural,Clear,63.5,93.4,4,0.82,2.0,7.23
ORD2284,MetroLogix,Van,Suburban,Clear,190.9,36.1,2,0.63,0.9,7.74
ORD2285,SwiftShip,Mini-Truck,Urban,Clear,88.6,48.9,1,0.92,3.3,1.62
ORD2286,UrbanCargo,Van,Suburban,Clear,41.3,62.0,3,0.33,3.8,0.89
ORD2287,FastFreight,Mini-Truck,Suburban,Fog,373.5,82.7,2,0.57,3.3,16.13
ORD2288,TransGlobal,Truck,Rural,Rain,136.8,82.4,4,,2.3,7.19
ORD2289,MetroLogix,Bike,Suburban,Clear,76.6,95.3,2,0.98,7.0,7.35
